COMMAND=C:\Fixture\dcoir\out\DCOIR_FIXTURE_HOST_fixture179_t2_20260531_175810\tools\pslist64.exe -accepteula -nobanner -t
EXIT_CODE=0

STDOUT:
Process information for FIXTURE_HOST:

Name                             Pid Pri Thd  Hnd      VM      WS    Priv
    svchost                     4764   8   3  232 2151780164    7584    2620
    svchost                     4824   8   6  188 2151821652    5672    2140
    svchost                     4832   8   4  280 2151779644    4468    2912
    svchost                     5044   8   7  482 2151798952   13064    4296
      audiodg                  26276   8   5  290 2151828804   24020   17100
    svchost                     5112   8   2  141 2151766980    3284    1864
    svchost                     5128   8   5  205 2151772336    5640    2072
      ctfmon                    3824  13  14  571 2151855024   33580    8524
    svchost                     5148   8   2  126 2151761172    5148    1848
    svchost                     5420   8   4  220 2151775924    8672    2608
    svchost                     5520   8  15  504 2151879592   33552   47852
    svchost                     5768   8  20  614 2151880244   18432   28216
      wlanext                   4172   8   7  236 2151798580    6660   10596
    WUDFHost                    5788   8   8  250 2151769048    4188   12060
    svchost                     5796   8   5  238 2151799696    9236    3104
    svchost                     5896   8   1  106 2151757392    2320    1316
    svchost                     5904   8   4  208 2151777160   10772    2516
    FIXTURE_VENDOROptimization            5920   8  12  221 4293340    4672    2484
      FIXTURE_VENDORWiFiSmartConnect      6200   8   8  188 4295120    9440    4408
        conhost                 6268   8   3  111 2151759152    1780    1384
      FIXTURE_VENDOROptimizationStartupTask 15492   8   7  354 4335404   21420    3244
      FIXTURE_VENDORHotkey               45164   8   4  121 4305564    8928    1508
    svchost                     5928   8  10  317 2151816596   11024    4276
    GameSDK                     6272   8   3  145   40368    2120    1960
    svchost                     6320   8  17  459 2151796548    9076    4424
    GameInputRedistService      6356   8  10  208 2151795800    4972   20584
      GameInputRedistService    7652   8   2  241 2151818372   15260    2464
    svchost                     6420   8   6  130 2151764104    2624    1772
    svchost                     6536   8   2  217 2151785828   11336    3288
    svchost                     6548   8   5  222 2151787624    6680    2900
      NgcIso                    7320  13   3   55 4246196    2036    1304
    svchost                     6600   8   6  188 2151775720    4244    2164
    svchost                     6720   8   6  394 2152831392    7616    3204
    FIXTURE_VENDORAppService              6832   8   4  368 4364856   17428    5520
    armsvc                      6864   8   2  138   72664    1844    1844
    ArmouryCrateControlInterface  6876   8   3  279 4282844    6724    2652
    FIXTURE_VENDORPTPService              6888   8   4  143 4283028    2492    2020
    FIXTURE_VENDORSoftwareManager         6896   8  10  598 4333560   12412    9528
      FIXTURE_VENDORSoftwareManagerAgent 26712   8   8  489 4899988   46856   40564
    FIXTURE_VENDORSystemDiagnosis         6912   8   2  212 4293348    7360    2924
    AuraWallpaperService        6920   8  14  711 4764316   14936   23532
    FIXTURE_VENDORSystemAnalysis          6928   8   7  669 4309844   10720    4796
    bdvpnservice                6936   8  62  905 275430036   50400   39092
    bdservicehost               6952   8  57  497 2151908940   16252   24720
      wsccommunicator          12976   8  33  477 4361852   13300   12068
    svchost                     6980   8   5  221 2151775504    5252    2216
    FIXTURE_VENDORSwitch                  6988   8   7  190 4292896    2380    2032
    OfficeClickToRun            7016   8  19  804 2151956168   31592   44420
    AdobeUpdateService          7024   8   3  167   84624    2900    2392
    GlideXNearService           7040   8  19  415 4324740   11856    8548
    GlideXRemoteService         7048   8   5  250 4301656    3576    3724
    HapticService               7056   8  11  164 4302688    5084    8780
    GlideXServiceExt            7068   8   4  281 4306108   12348    3512
    CortexLauncherService       7076   8   3  118 4273876    2248    1364
    svchost                     7088   8   2  139 2151768400    2756    1640
    OneApp.IGCC.WinService      7092   8   7  716 4829088   19704   29096
    svchost                     7100   8   6  279 2151773964    4304    2972
    GlideXService               7108   8  17  487 4334420    8700    6260
    DAX3API                     7132   8   8  388 4325060    6548    8976
    svchost                     7144   8  12  769 2151967380   39012   32480
      AggregatorHost            6960   8   4  215 2151777736   10684    4628
    svchost                     7152   8   7  281 2151776912    8160    3268
      dasHost                  16612   8   3  370 2151805284   20872   12196
    svchost                     7156   8   3  184 2151786188    4936    2416
    svchost                     7196   8  18  410 2152254572   55520   55728
    IntelAudioService           7248   8   5  431 4800808    7380   39708
    ipfsvc                      7268   8   8  140 2151757104    1972    2720
    svchost                     7284   8   5  279 2151790232   10664    3168
    nvcontainer                 7304   8  29  587 2151879276   25936   18620
      nvcontainer              26340   8  61  783 2152031352   98012   64772
      nvcontainer              33748   8  27 5874 2151945632   46324   18384
    logioptionsplus_updater     7368   8  41  402 4429184   15904   29196
      logioptionsplus_agent    31908   8 115 1081 4930696  131280  144836
        LogiAiPromptBuilder    10156   8  84  726 56288344   76316  145492
          msedgewebview2       37036   8  56 1418 2354570236  117088   45876
            msedgewebview2     16944  10  55  802 2305170980   86940  124520
            msedgewebview2     20892   4  36  425 3783657420  173788  161736
            msedgewebview2     33220   8  26  386 2303592780   43432   16108
            msedgewebview2     35820   8  10  182 2303290888   18852    9716
            msedgewebview2     37280   8   8  175 2252592120   12200    2984
        logioptionsplus_appbroker 30740   8   9  211 4337904   14572    4916
    ipf_uf                      7464  13   3  139 2151760232    3856    2112
      ipf_helper                6816   8   4  126 2151778544    9224    1804
    WUDFCompanionHost           7480  13   3   93 4245540    1084    1428
    logi_lamparray_service      7504   8  11  196 4293948    5776    3924
    RzSDKService                7580   8  22  179   58940    2836    3396
      RzAppManager              9308   8   9  145   43908    1648    1828
        conhost                 9896   8   4  143 2151763080    2356    1728
      RzBTLEManager             9352   8   4  225   44860    2212    3428
        conhost                 9724   8   4  143 2151763080    2364    1728
      RzChromaConnectManager    9388   8   8  164   49372    1768    1860
        conhost                10052   8   4  143 2151763080    2416    1728
      RzChromaConnectServer     9440   8   7  307   76456    4476    2920
        conhost                 9816   8   4  143 2151763080    2564    1728
      RzDeviceManager           9488   8   4  159   44284    2296    1768
        conhost                10076   8   4  143 2151763080    2360    1736
      RzDeviceManagerEx         9536   8   5  103   26608    1276    1304
        conhost                10084   8   4  143 2151763080    2380    1716
      RzIoTDeviceManager        9612   8   5  103   26628    1284    1288
        conhost                10208   8   4  143 2151763080    2392    1728
      RzSmartlightingDeviceManager  9716   8   5  103   26636    1284    1284
        conhost                10184   8   4  143 2151763080    2404    1732
      RzWDLDeviceManager        9748   8   5  104   26096    1264    1264
        conhost                10196   8   4  143 2151763080    2356    1724
    RzDiagnosticService         7588   8   4  157   38740    2172    1832
    RzSDKServer                 7600   8   8  188   57316    2312    2644
    GameManagerService3         7608   8  17 1012 2422935644   98464  216792
    ROGLiveService              7644   8  37  531 4375764   19840   15940
    svchost                     7700   8   7  223 2151779072    5768    2752
    jhi_service                 7792   8   2  145 2151759776    2228    1460
    RazerCentralService         7804   8  10  779  217024   41276   30804
    sqlwriter                   7824   8   2  149 4276180    3400    2168
    RtkAudUService64            7836   8  23  533 4365696    6484   24312
    svchost                     7976   8   5  186 2151776904    4464    2336
    svchost                     8136   8   2  133 2151762048    3208    1776
    WUDFCompanionHost           8148  13   3   93 4858528     912    1696
    svchost                     8248   8   3  128 2151764036    4512    1664
    ProductAgentService         8812   8  32  466  134264   20516   13272
      DiscoverySrv             38908   8   4  241   58588   14624    3280
    SecurityHealthService       9004   8   6  401 2151853952   21500    7912
    svchost                     9184   8   7  473 2151908080   41748    9916
    svchost                     9368   8  23  743 2151871648   26532   20568
    svchost                    10252   8   2  105 2151780652    7468    1316
    svchost                    10696   8   5  125 2151763556    2692    1744
    svchost                    11340   8  16  584 2152009712   19584   12612
    svchost                    11784   8  10  261 2151771124    6080    2912
    svchost                    11964   8  12  516 2151831420   18880    6712
    Intel_PIE_Service          13608   8   5  201 2151784812    4264    2624
    SearchIndexer              13984   8  13 1086 2151938020   54196   44136
      SearchFilterHost          5532   8   2  199 2151769688   12372    2852
      SearchFilterHost          8784   8   4  189 2151763100   11268    2176
      SearchFilterHost         25012   8   4  193 2151767072   11840    2716
      SearchFilterHost         25780   8   1  187 2151764700    9700    2464
      SearchProtocolHost       35252   8   6  446 2151795944   17380    5156
      SearchFilterHost         36012   8   1  195 2151779584   10724    3596
      SearchFilterHost         38080   8   3  196 2151766224   12100    2232
      SearchFilterHost         39408   8   3  200 2151766728   12648    3680
      SearchProtocolHost       42556   8   9  265 2151780092   10916    2124
    svchost                    14224   8   4  195 2151799920   17808    2780
    gamingservices             14312   8  20  733 2151888932   27124   10012
    gamingservicesnet          14316   8  39  336 2151818196    4064   12692
    svchost                    14592   8   9  242 2151785044    7020    3840
    svchost                    15100   8  10  847 2151941544   25228   10696
    svchost                    15108   8  42  515 2151800712    7348    5428
    WMIRegistrationService     15432   8   2  279   94820    3364    3064
    wslservice                 15440   8   3  455 2151828884    8220    6172
    svchost                    15448   8   2  132 2151768880    3188    1916
    updatesrv                  15464   8  15  336 2151817856   12080   12740
    svchost                    15472   8   3  132 2151759652    2312    1676
    svchost                    15480   8   8  496 2151843972   21512    6072
    GameInputSvc               16920   8   3  130 2151749444    2380    1476
      GameInputSvc             22732   8   7  322 2151811512   22992    4024
    svchost                    16924   8   9  233 2151787668   10664    3460
    svchost                    17508   8   9  288 2151807820   13408    5948
    svchost                    17512   8  15  437 2151792916   15788   10036
    svchost                    17524   8   5  246 2151769612    3784    2440
    svchost                    17840   8   8  273 2151774456    5276    2608
    svchost                    17872   8   2   89 2151746600    2524    1180
    svchost                    17968   8   3  184 2151776016    4044    2216
    svchost                    17984   8   3  192 2151784396    6892    2408
    svchost                    18136   8  12  980 2151855820   30036   12800
    svchost                    18484   8   7  226 2151775312    4860    2504
    svchost                    18680   8   2  203 2151778544    5468    2200
    WUDFHost                   18688  13   8  306 2151761688    7812    3456
    svchost                    18836   8  11  525 2151870880   29712   12828
    svchost                    19212   8   5  284 2151775848    6472    3048
    svchost                    19464   8  27  227 2151797548    5284    3668
    svchost                    19724   8   5  328 2151828044   26856    9768
    svchost                    20904   8   7  182 2151772448    6640    2332
    bdredline                  20980   8   4  284 4298744   12112    3936
    svchost                    21084   8   1  106 2151757488    4368    1332
    svchost                    21184   8   1  124 2151761404    8688    1508
    svchost                    22096   8   5  167 2151768400    6248    2128
    svchost                    24932   8  27  370 2152031352   44344   66380
    svchost                    25484   8   4  157 2151792060   14924    2016
    svchost                    25748   8  10  544 2151870128   42120   16952
    svchost                    27156   8   3  302 2151841588   25244    4052
    bdredline                  27464   8   3  293   75900    9872    5376
    svchost                    28072   8  12  537 2151897048   45132    9436
    ArmouryCrate.Service       28228   8 115 1542 2152523836   46556   63908
      ArmouryCrate.UserSessionHelper  6516   8 144 2733 2152590516   99868   52916
        conhost                 6240   8   2   92 2151774780    6744    1268
    svchost                    28444   8   5  318 2151790500   15816    3944
    TrustedInstaller           28588   8   6  147 2151750356    9912    1860
    svchost                    29884   8   5  195 2152063204    8820    7864
    svchost                    30948   8   6  352 2151801752   15456    4560
    svchost                    31272   8   3  158 2151792348   15496    2404
    RzChromaStreamServer       31944   8   8  174   48176    2552    2220
    svchost                    32152   8   4  211 2151771260    4732    2104
    svchost                    32904   8   2  157 2151770608    3816    1912
    svchost                    45612   8   3  119 2151759760    7704    1372
  fontdrvhost                   2136   8   5   43 2151754472    1344    2000
